416,aggressive
499,aggressive
439,aggressive
271,aggressive
297,aggressive
447,aggressive
155,aggressive
485,aggressive
243,aggressive
280,aggressive
134,aggressive
410,aggressive
125,aggressive
294,aggressive
415,aggressive
151,dramatic
97,dramatic
58,dramatic
427,dramatic
422,dramatic
137,dramatic
166,dramatic
162,dramatic
49,dramatic
148,dramatic
471,dramatic
107,dramatic
53,dramatic
239,dramatic
104,dramatic
48,dramatic
120,dramatic
135,dramatic
118,dramatic
59,dramatic
72,dramatic
101,dramatic
424,dramatic
224,dramatic
76,dramatic
16,dramatic
139,dramatic
108,dramatic
161,dramatic
274,dramatic
408,dramatic
413,dramatic
143,dramatic
474,dramatic
132,dramatic
153,dramatic
145,dramatic
167,dramatic
240,dramatic
288,dramatic
103,dramatic
414,dramatic
129,dramatic
175,dramatic
436,dramatic
218,dramatic
100,dramatic
131,dramatic
409,dramatic
487,dramatic
248,dramatic
57,dramatic
86,dramatic
165,dramatic
421,dramatic
27,dramatic
168,dramatic
219,dramatic
157,dramatic
126,dramatic
461,dramatic
457,dramatic
124,dramatic
110,dramatic
74,dramatic
452,dramatic
488,dramatic
462,dramatic
433,sad
38,sad
449,sad
105,sad
45,sad
87,sad
184,sad
445,sad
443,sad
19,sad
2,sad
55,sad
480,sad
15,sad
185,sad
36,sad
33,sad
6,sad
406,sad
63,sad
70,sad
99,sad
434,sad
189,sad
92,sad
1,sad
138,sad
32,sad
493,sad
98,sad
20,sad
476,sad
68,sad
431,sad
35,sad
256,sad
56,sad
195,sad
82,sad
17,sad
11,sad
21,sad
217,sad
117,sad
47,sad
84,sad
4,sad
144,sad
478,sad
93,sad
152,sad
254,sad
246,sad
191,sad
233,sad
442,sad
187,sad
477,sad
211,sad
91,sad
267,sad
9,sad
89,sad
44,romantic
491,romantic
264,romantic
67,romantic
470,romantic
77,romantic
196,romantic
472,romantic
483,romantic
417,romantic
475,romantic
8,romantic
83,romantic
463,romantic
420,romantic
418,romantic
69,romantic
245,romantic
468,romantic
214,romantic
482,romantic
207,romantic
459,romantic
223,romantic
247,romantic
142,romantic
286,romantic
490,romantic
486,romantic
140,romantic
41,romantic
496,romantic
42,romantic
270,romantic
495,romantic
252,romantic
5,romantic
170,romantic
14,romantic
402,romantic
492,romantic
230,romantic
51,romantic
281,romantic
460,romantic
60,romantic
466,romantic
293,romantic
453,romantic
225,romantic
13,romantic
46,romantic
73,romantic
412,happy
197,happy
498,happy
192,happy
469,happy
34,happy
30,happy
180,happy
429,happy
275,happy
127,happy
186,happy
438,happy
467,happy
176,happy
425,happy
146,happy
116,happy
260,happy
119,happy
23,happy
66,happy
159,happy
182,happy
172,happy
419,happy
3,happy
489,happy
216,happy
226,happy
28,happy
111,happy
178,happy
80,happy
169,happy
199,happy
95,happy
71,happy
39,happy
204,happy
403,happy
64,happy
43,happy
113,happy
18,happy
426,happy
228,happy
115,happy
24,happy
284,happy
78,happy
440,happy
29,happy
114,happy
205,happy
201,happy
102,happy
174,happy
62,happy
411,happy
61,happy
26,happy
75,happy
81,happy
54,happy
65,happy
198,happy
136,happy
432,happy
158,happy
150,happy
258,happy
130,happy
149,happy
112,happy
497,happy
481,happy
85,happy
244,happy
50,happy
473,happy
25,happy
404,happy
123,happy
109,happy
52,happy
164,happy
181,happy
423,happy
455,happy
454,happy
437,happy
10,happy
133,happy
171,happy
40,happy
479,happy
96,happy
494,happy
7,happy
141,happy
193,happy
79,happy
456,happy
234,happy
235,happy
94,happy
190,happy
12,happy
173,happy
106,happy
122,happy
451,happy
448,happy
188,happy
90,happy
428,happy
88,happy
128,happy
407,happy
249,happy
229,happy
444,happy
